sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
17,0.015503033,0,Normal,paw_flow_volume,,-4.501314565,
17,0.017603229,0,Normal,paw_flow_volume,111.9093449,,
17,0.078746324,0,Normal,paw_flow_volume,,,6.485165645
17,0.228645964,0,Normal,paw_flow_volume,,-5.285569679,
17,0.307609059,0,Normal,paw_flow_volume,,,6.704573125
17,0.312294319,0,Normal,paw_flow_volume,84.29059298,,
17,0.472129187,0,Normal,paw_flow_volume,,-5.324700911,
17,0.582025048,0,Normal,paw_flow_volume,,,6.507721554
17,0.669466004,0,Normal,paw_flow_volume,73.52995964,,
17,0.761170404,0,Normal,paw_flow_volume,,-4.621153964,
17,0.917145481,0,Normal,paw_flow_volume,,,5.68613965
17,1.019490886,0,Normal,paw_flow_volume,,-1.662669755,
17,1.041850357,0,Normal,paw_flow_volume,46.00434648,,
17,1.115606154,0,Normal,paw_flow_volume,,,6.1133349
17,1.216750341,0,Normal,paw_flow_volume,,2.805627832,
17,1.306915222,0,Normal,paw_flow_volume,,11.79113705,
17,1.312771002,0,Normal,paw_flow_volume,,,3.821517825
17,1.335828855,0,Normal,paw_flow_volume,,23.78649021,
17,1.336541447,0,Normal,paw_flow_volume,18.38559454,,
17,1.344568568,0,Normal,paw_flow_volume,,,6.541897174
17,1.349715008,0,Normal,paw_flow_volume,,34.28425851,
17,1.361713338,0,Normal,paw_flow_volume,,,10.51652178
17,1.378913972,0,Normal,paw_flow_volume,,44.02956582,
17,1.394607372,0,Normal,paw_flow_volume,,,15.53760386
17,1.397099344,0,Normal,paw_flow_volume,,,20.76647372
17,1.47002996,0,Normal,paw_flow_volume,,45.51492218,
17,1.475646311,0,Normal,paw_flow_volume,,,25.58045155
17,1.510617821,0,Normal,paw_flow_volume,180.8320397,,
17,1.583000477,0,Normal,paw_flow_volume,,,26.8401649
17,1.668620964,0,Normal,paw_flow_volume,,39.48300577,
17,1.736306612,0,Normal,paw_flow_volume,,,28.52023837
17,1.77792611,0,Normal,paw_flow_volume,343.3902515,,
17,1.851899156,0,Normal,paw_flow_volume,,34.20355034,
17,1.934667606,0,Normal,paw_flow_volume,,,28.73827883
17,1.998183794,0,Normal,paw_flow_volume,483.5144365,,
17,2.004551723,0,Normal,paw_flow_volume,,30.4290169,
17,2.187925026,0,Normal,paw_flow_volume,,24.39954619,
17,2.280378764,0,Normal,paw_flow_volume,612.5240609,,
17,2.294544046,0,Normal,paw_flow_volume,,23.63241099,
17,2.300887854,0,Normal,paw_flow_volume,,,29.17299272
17,2.300916459,0,Normal,paw_flow_volume,,-26.61861315,
17,2.310903075,0,Normal,paw_flow_volume,,14.62978186,
17,2.313185731,0,Normal,paw_flow_volume,,-3.370584998,
17,2.316704824,0,Normal,paw_flow_volume,,-31.12115057,
17,2.326206293,0,Normal,paw_flow_volume,,,18.29831044
17,2.328897623,0,Normal,paw_flow_volume,,,23.94548989
17,2.329734981,0,Normal,paw_flow_volume,,-13.8732447,
17,2.339164548,0,Normal,paw_flow_volume,,,13.48843369
17,2.348281555,0,Normal,paw_flow_volume,,-40.1262254,
17,2.438161104,0,Normal,paw_flow_volume,,-28.89067033,
17,2.49007839,0,Normal,paw_flow_volume,,,10.14879211
17,2.588652592,0,Normal,paw_flow_volume,484.2222912,,
17,2.695720701,0,Normal,paw_flow_volume,,-19.93206383,
17,2.732995849,0,Normal,paw_flow_volume,,,7.859025568
17,3.114467557,0,Normal,paw_flow_volume,356.1813102,,
17,3.151205527,0,Normal,paw_flow_volume,,-11.75526675,
17,3.189824209,0,Normal,paw_flow_volume,,,6.41544738
17,3.744410552,0,Normal,paw_flow_volume,,-9.600603273,
17,3.830261087,0,Normal,paw_flow_volume,,,6.235000107
17,3.857714995,0,Normal,paw_flow_volume,222.8065818,,
17,4.524247128,0,Normal,paw_flow_volume,139.6895374,,
17,4.562302867,0,Normal,paw_flow_volume,,,6.267808702
17,4.763616106,0,Normal,paw_flow_volume,,-6.764404166,
17,5.309695196,0,Normal,paw_flow_volume,,,6.510455604
17,5.315740453,0,Normal,paw_flow_volume,90.28873021,,
17,5.326575949,0,Normal,paw_flow_volume,,-6.104879855,
17,5.827864017,0,Normal,paw_flow_volume,57.33623098,,
17,5.873977401,0,Normal,paw_flow_volume,,,6.535745563
17,6.011182293,0,Normal,paw_flow_volume,,-4.714905874,
